"Metrics/step_episode","cpo_filter_2025-11-19_21-13-35 - Metrics/EpEnvLen","cpo_filter_2025-11-19_21-13-35 - Metrics/EpEnvLen__MIN","cpo_filter_2025-11-19_21-13-35 - Metrics/EpEnvLen__MAX","cpo_filter_2025-11-19_21-13-35 - _step","cpo_filter_2025-11-19_21-13-35 - _step__MIN","cpo_filter_2025-11-19_21-13-35 - _step__MAX"
"255","1618","1618","1618","801","801","801"
"256","1618","1618","1618","803","803","803"
"257","1799","1799","1799","814","814","814"
"258","1138","1138","1138","821","821","821"
"259","1138","1138","1138","824","824","824"
"260","1138","1138","1138","827","827","827"
"261","1138","1138","1138","829","829","829"
"262","1138","1138","1138","832","832","832"
"263","1138","1138","1138","834","834","834"
"264","1138","1138","1138","837","837","837"
"265","1138","1138","1138","839","839","839"
"266","1138","1138","1138","842","842","842"
"267","1138","1138","1138","845","845","845"
"268","1499","1499","1499","854","854","854"
"269","1799","1799","1799","862","862","862"
"270","1399","1399","1399","872","872","872"
"271","1126","1126","1126","879","879","879"
"272","1126","1126","1126","881","881","881"
"273","1126","1126","1126","883","883","883"
"274","1126","1126","1126","885","885","885"
"275","1126","1126","1126","887","887","887"
"276","1126","1126","1126","890","890","890"
"277","1126","1126","1126","892","892","892"
"278","1126","1126","1126","894","894","894"
"279","1126","1126","1126","896","896","896"
"280","1126","1126","1126","898","898","898"
"281","1729","1729","1729","905","905","905"
"282","1729","1729","1729","907","907","907"
"283","1729","1729","1729","909","909","909"
"284","1729","1729","1729","911","911","911"
"285","1729","1729","1729","913","913","913"
"286","1729","1729","1729","915","915","915"
"287","1729","1729","1729","917","917","917"
"288","1729","1729","1729","920","920","920"
"289","1729","1729","1729","922","922","922"
"290","1729","1729","1729","924","924","924"
"291","1999","1999","1999","933","933","933"
"292","1600","1600","1600","940","940","940"
"293","1600","1600","1600","942","942","942"
"294","1600","1600","1600","944","944","944"
"295","1600","1600","1600","946","946","946"
"296","1600","1600","1600","949","949","949"
"297","1600","1600","1600","951","951","951"
"298","1600","1600","1600","953","953","953"
"299","1600","1600","1600","955","955","955"
"300","1600","1600","1600","957","957","957"
"301","1600","1600","1600","959","959","959"
"302","1799","1799","1799","970","970","970"
"303","1180","1180","1180","978","978","978"
"304","1180","1180","1180","980","980","980"
"305","1180","1180","1180","982","982","982"
"306","1180","1180","1180","984","984","984"
"307","1180","1180","1180","986","986","986"
"308","1180","1180","1180","988","988","988"
"309","1180","1180","1180","990","990","990"
"310","1180","1180","1180","992","992","992"
"311","1180","1180","1180","995","995","995"
"312","1180","1180","1180","997","997","997"
"313","1250","1250","1250","1004","1004","1004"
"314","1250","1250","1250","1006","1006","1006"
"315","1250","1250","1250","1008","1008","1008"
"316","1250","1250","1250","1010","1010","1010"
"317","1250","1250","1250","1012","1012","1012"
"318","1250","1250","1250","1014","1014","1014"
"319","1250","1250","1250","1016","1016","1016"
"320","1250","1250","1250","1018","1018","1018"
"321","1250","1250","1250","1020","1020","1020"
"322","1250","1250","1250","1023","1023","1023"
"323","1799","1799","1799","1030","1030","1030"
"324","1105","1105","1105","1038","1038","1038"
"325","1105","1105","1105","1041","1041","1041"
"326","1105","1105","1105","1044","1044","1044"
"327","1105","1105","1105","1047","1047","1047"
"328","1105","1105","1105","1049","1049","1049"
"329","1105","1105","1105","1052","1052","1052"
"330","1105","1105","1105","1055","1055","1055"
"331","1105","1105","1105","1058","1058","1058"
"332","1105","1105","1105","1060","1060","1060"
"333","1105","1105","1105","1063","1063","1063"
"334","1152","1152","1152","1070","1070","1070"
"335","1152","1152","1152","1072","1072","1072"
"336","1152","1152","1152","1074","1074","1074"
"337","1152","1152","1152","1077","1077","1077"
"338","1152","1152","1152","1079","1079","1079"
"339","1152","1152","1152","1081","1081","1081"
"340","1152","1152","1152","1083","1083","1083"
"341","1152","1152","1152","1085","1085","1085"
"342","1152","1152","1152","1087","1087","1087"
"343","1152","1152","1152","1089","1089","1089"
"344","3499","3499","3499","1102","1102","1102"
"345","1999","1999","1999","1112","1112","1112"
"346","1558","1558","1558","1119","1119","1119"
"347","1558","1558","1558","1121","1121","1121"
"348","1558","1558","1558","1123","1123","1123"
"349","1558","1558","1558","1125","1125","1125"
"350","1558","1558","1558","1128","1128","1128"
"351","1558","1558","1558","1130","1130","1130"
"352","1558","1558","1558","1132","1132","1132"
"353","1558","1558","1558","1134","1134","1134"
"354","1558","1558","1558","1136","1136","1136"
"355","1558","1558","1558","1138","1138","1138"
"356","1799","1799","1799","1146","1146","1146"
"357","1499","1499","1499","1156","1156","1156"
"358","1499","1499","1499","1167","1167","1167"
"359","1799","1799","1799","1178","1178","1178"
"360","1130","1130","1130","1185","1185","1185"
"361","1130","1130","1130","1187","1187","1187"
"362","1130","1130","1130","1189","1189","1189"
"363","1130","1130","1130","1191","1191","1191"
"364","1130","1130","1130","1193","1193","1193"
"365","1130","1130","1130","1195","1195","1195"
"366","1130","1130","1130","1197","1197","1197"
"367","1130","1130","1130","1199","1199","1199"
"368","1130","1130","1130","1201","1201","1201"
"369","1130","1130","1130","1203","1203","1203"
"370","1127","1127","1127","1211","1211","1211"
"371","1127","1127","1127","1213","1213","1213"
"372","1127","1127","1127","1215","1215","1215"
"373","1127","1127","1127","1217","1217","1217"
"374","1127","1127","1127","1219","1219","1219"
"375","1127","1127","1127","1221","1221","1221"
"376","1127","1127","1127","1223","1223","1223"
"377","1127","1127","1127","1225","1225","1225"
"378","1127","1127","1127","1227","1227","1227"
"379","1127","1127","1127","1229","1229","1229"
"380","3499","3499","3499","1241","1241","1241"
"381","1530","1530","1530","1248","1248","1248"
"382","1530","1530","1530","1250","1250","1250"
"383","1530","1530","1530","1252","1252","1252"
"384","1530","1530","1530","1255","1255","1255"
"385","1530","1530","1530","1257","1257","1257"
"386","1530","1530","1530","1259","1259","1259"
"387","1530","1530","1530","1261","1261","1261"
"388","1530","1530","1530","1263","1263","1263"
"389","1530","1530","1530","1265","1265","1265"
"390","1530","1530","1530","1267","1267","1267"
"391","1555","1555","1555","1274","1274","1274"
"392","1555","1555","1555","1277","1277","1277"
"393","1555","1555","1555","1279","1279","1279"
"394","1555","1555","1555","1282","1282","1282"
"395","1555","1555","1555","1284","1284","1284"
"396","1555","1555","1555","1286","1286","1286"
"397","1555","1555","1555","1289","1289","1289"
"398","1555","1555","1555","1291","1291","1291"
"399","1555","1555","1555","1294","1294","1294"
"400","1555","1555","1555","1296","1296","1296"
"401","1134","1134","1134","1339","1339","1339"
"402","1134","1134","1134","1341","1341","1341"
"403","1134","1134","1134","1343","1343","1343"
"404","1134","1134","1134","1345","1345","1345"
"405","1134","1134","1134","1347","1347","1347"
"406","1134","1134","1134","1350","1350","1350"
"407","1134","1134","1134","1352","1352","1352"
"408","1134","1134","1134","1354","1354","1354"
"409","1134","1134","1134","1356","1356","1356"
"410","1134","1134","1134","1358","1358","1358"
"411","1499","1499","1499","1368","1368","1368"
"412","1499","1499","1499","1379","1379","1379"
"413","1482","1482","1482","1386","1386","1386"
"414","1482","1482","1482","1388","1388","1388"
"415","1482","1482","1482","1390","1390","1390"
"416","1482","1482","1482","1392","1392","1392"
"417","1482","1482","1482","1394","1394","1394"
"418","1482","1482","1482","1396","1396","1396"
"419","1482","1482","1482","1398","1398","1398"
"420","1482","1482","1482","1400","1400","1400"
"421","1482","1482","1482","1402","1402","1402"
"422","1482","1482","1482","1404","1404","1404"
"423","1007","1007","1007","1412","1412","1412"
"424","1007","1007","1007","1414","1414","1414"
"425","1007","1007","1007","1416","1416","1416"
"426","1007","1007","1007","1418","1418","1418"
"427","1007","1007","1007","1420","1420","1420"
"428","1007","1007","1007","1422","1422","1422"
"429","1007","1007","1007","1424","1424","1424"
"430","1007","1007","1007","1426","1426","1426"
"431","1007","1007","1007","1428","1428","1428"
"432","1007","1007","1007","1430","1430","1430"
"433","1143","1143","1143","1437","1437","1437"
"434","1143","1143","1143","1439","1439","1439"
"435","1143","1143","1143","1442","1442","1442"
"436","1143","1143","1143","1444","1444","1444"
"437","1143","1143","1143","1446","1446","1446"
"438","1143","1143","1143","1448","1448","1448"
"439","1143","1143","1143","1450","1450","1450"
"440","1143","1143","1143","1452","1452","1452"
"441","1143","1143","1143","1454","1454","1454"
"442","1143","1143","1143","1456","1456","1456"
"443","1749","1749","1749","1463","1463","1463"
"444","1749","1749","1749","1465","1465","1465"
"445","1749","1749","1749","1468","1468","1468"
"446","1749","1749","1749","1470","1470","1470"
"447","1749","1749","1749","1472","1472","1472"
"448","1749","1749","1749","1474","1474","1474"
"449","1749","1749","1749","1476","1476","1476"
"450","1749","1749","1749","1478","1478","1478"
"451","1749","1749","1749","1480","1480","1480"
"452","1749","1749","1749","1483","1483","1483"
"453","1682","1682","1682","1490","1490","1490"
"454","1682","1682","1682","1493","1493","1493"
"455","1682","1682","1682","1496","1496","1496"
"456","1682","1682","1682","1499","1499","1499"
"457","1682","1682","1682","1501","1501","1501"
"458","1682","1682","1682","1504","1504","1504"
"459","1682","1682","1682","1507","1507","1507"
"460","1682","1682","1682","1510","1510","1510"
"461","1682","1682","1682","1512","1512","1512"
"462","1682","1682","1682","1515","1515","1515"
"463","1999","1999","1999","1526","1526","1526"
"464","1491","1491","1491","1533","1533","1533"
"465","1491","1491","1491","1535","1535","1535"
"466","1491","1491","1491","1538","1538","1538"
"467","1491","1491","1491","1540","1540","1540"
"468","1491","1491","1491","1542","1542","1542"
"469","1491","1491","1491","1544","1544","1544"
"470","1491","1491","1491","1546","1546","1546"
"471","1491","1491","1491","1548","1548","1548"
"472","1491","1491","1491","1550","1550","1550"
"473","1491","1491","1491","1552","1552","1552"
"474","1255","1255","1255","1560","1560","1560"
"475","1255","1255","1255","1562","1562","1562"
"476","1255","1255","1255","1564","1564","1564"
"477","1255","1255","1255","1567","1567","1567"
"478","1255","1255","1255","1569","1569","1569"
