"Train/step","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards__MIN","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards__MAX","cpo_filter_2025-11-19_21-13-35 - _step","cpo_filter_2025-11-19_21-13-35 - _step__MIN","cpo_filter_2025-11-19_21-13-35 - _step__MAX"
"420577","-177.46060180664062","-177.46060180664062","-177.46060180664062","3722","3722","3722"
"424075","-179.6888427734375","-179.6888427734375","-179.6888427734375","3737","3737","3737"
"426073","-180.1846466064453","-180.1846466064453","-180.1846466064453","3748","3748","3748"
"428071","-180.6754913330078","-180.6754913330078","-180.6754913330078","3759","3759","3759"
"429869","-180.93341064453125","-180.93341064453125","-180.93341064453125","3769","3769","3769"
"431367","-180.84677124023438","-180.84677124023438","-180.84677124023438","3779","3779","3779"
"432865","-180.760986328125","-180.760986328125","-180.760986328125","3789","3789","3789"
"434663","-181.01806640625","-181.01806640625","-181.01806640625","3799","3799","3799"
"436061","-180.8166046142578","-180.8166046142578","-180.8166046142578","3809","3809","3809"
"437459","-180.6171417236328","-180.6171417236328","-180.6171417236328","3818","3818","3818"
"440957","-182.81382751464844","-182.81382751464844","-182.81382751464844","3833","3833","3833"
"442955","-183.27838134765625","-183.27838134765625","-183.27838134765625","3844","3844","3844"
"444953","-183.73829650878906","-183.73829650878906","-183.73829650878906","3855","3855","3855"
"446751","-183.96560668945312","-183.96560668945312","-183.96560668945312","3865","3865","3865"
"448249","-183.84864807128906","-183.84864807128906","-183.84864807128906","3875","3875","3875"
"449747","-183.73284912109375","-183.73284912109375","-183.73284912109375","3885","3885","3885"
"451545","-183.960205078125","-183.960205078125","-183.960205078125","3895","3895","3895"
"452943","-183.72930908203125","-183.72930908203125","-183.72930908203125","3905","3905","3905"
"454341","-183.50071716308594","-183.50071716308594","-183.50071716308594","3914","3914","3914"
"457839","-185.66854858398438","-185.66854858398438","-185.66854858398438","3929","3929","3929"
"459837","-186.10455322265625","-186.10455322265625","-186.10455322265625","3940","3940","3940"
"461835","-186.5362091064453","-186.5362091064453","-186.5362091064453","3951","3951","3951"
"463633","-186.7355194091797","-186.7355194091797","-186.7355194091797","3962","3962","3962"
"465131","-186.59085083007812","-186.59085083007812","-186.59085083007812","3971","3971","3971"
"466629","-186.4476318359375","-186.4476318359375","-186.4476318359375","3981","3981","3981"
"468427","-186.64784240722656","-186.64784240722656","-186.64784240722656","3992","3992","3992"
"469825","-186.39007568359375","-186.39007568359375","-186.39007568359375","4001","4001","4001"
"471223","-186.13487243652344","-186.13487243652344","-186.13487243652344","4011","4011","4011"
"474721","-188.2763671875","-188.2763671875","-188.2763671875","4025","4025","4025"
"476719","-188.686279296875","-188.686279296875","-188.686279296875","4036","4036","4036"
"478717","-189.09210205078125","-189.09210205078125","-189.09210205078125","4047","4047","4047"
"480515","-189.26585388183594","-189.26585388183594","-189.26585388183594","4058","4058","4058"
"482013","-189.0959014892578","-189.0959014892578","-189.0959014892578","4068","4068","4068"
"483511","-188.92762756347656","-188.92762756347656","-188.92762756347656","4077","4077","4077"
"485309","-189.10304260253906","-189.10304260253906","-189.10304260253906","4088","4088","4088"
"486707","-188.8207244873047","-188.8207244873047","-188.8207244873047","4097","4097","4097"
"488105","-188.54122924804688","-188.54122924804688","-188.54122924804688","4107","4107","4107"
"491603","-190.65866088867188","-190.65866088867188","-190.65866088867188","4122","4122","4122"
"493601","-191.0447540283203","-191.0447540283203","-191.0447540283203","4133","4133","4133"
"495599","-191.42698669433594","-191.42698669433594","-191.42698669433594","4143","4143","4143"
"497397","-191.577392578125","-191.577392578125","-191.577392578125","4154","4154","4154"
"498895","-191.38430786132812","-191.38430786132812","-191.38430786132812","4164","4164","4164"
"500393","-191.1931610107422","-191.1931610107422","-191.1931610107422","4173","4173","4173"
"502191","-191.34591674804688","-191.34591674804688","-191.34591674804688","4184","4184","4184"
"503589","-191.04116821289062","-191.04116821289062","-191.04116821289062","4193","4193","4193"
"504987","-190.73947143554688","-190.73947143554688","-190.73947143554688","4203","4203","4203"
"508485","-192.8349151611328","-192.8349151611328","-192.8349151611328","4218","4218","4218"
"510483","-193.19924926757812","-193.19924926757812","-193.19924926757812","4229","4229","4229"
"512481","-193.55995178222656","-193.55995178222656","-193.55995178222656","4240","4240","4240"
"514279","-193.6890411376953","-193.6890411376953","-193.6890411376953","4250","4250","4250"
"515777","-193.47483825683594","-193.47483825683594","-193.47483825683594","4260","4260","4260"
"517275","-193.26278686523438","-193.26278686523438","-193.26278686523438","4270","4270","4270"
"519073","-193.39483642578125","-193.39483642578125","-193.39483642578125","4307","4307","4307"
"521071","-193.75357055664062","-193.75357055664062","-193.75357055664062","4318","4318","4318"
"522469","-193.42474365234375","-193.42474365234375","-193.42474365234375","4328","4328","4328"
"525967","-195.4933319091797","-195.4933319091797","-195.4933319091797","4342","4342","4342"
"527965","-195.83108520507812","-195.83108520507812","-195.83108520507812","4353","4353","4353"
"529963","-196.16546630859375","-196.16546630859375","-196.16546630859375","4364","4364","4364"
"531761","-196.26849365234375","-196.26849365234375","-196.26849365234375","4375","4375","4375"
"533259","-196.0284881591797","-196.0284881591797","-196.0284881591797","4385","4385","4385"
"534757","-195.7908935546875","-195.7908935546875","-195.7908935546875","4394","4394","4394"
"536555","-195.89767456054688","-195.89767456054688","-195.89767456054688","4405","4405","4405"
"537953","-195.54739379882812","-195.54739379882812","-195.54739379882812","4414","4414","4414"
"539351","-195.20062255859375","-195.20062255859375","-195.20062255859375","4424","4424","4424"
"542849","-197.25146484375","-197.25146484375","-197.25146484375","4439","4439","4439"
"544847","-197.57164001464844","-197.57164001464844","-197.57164001464844","4450","4450","4450"
"546845","-197.88861083984375","-197.88861083984375","-197.88861083984375","4461","4461","4461"
"548643","-197.9744110107422","-197.9744110107422","-197.9744110107422","4471","4471","4471"
"550141","-197.7173614501953","-197.7173614501953","-197.7173614501953","4481","4481","4481"
"551639","-197.462890625","-197.462890625","-197.462890625","4491","4491","4491"
"553437","-197.55294799804688","-197.55294799804688","-197.55294799804688","4501","4501","4501"
